,voting,test,metric,value
326,democratic,27,fpr,0.17880794701986755
327,veto,27,err,0.041116005873715125
328,veto,27,fnr,0.0
329,veto,27,fpr,0.18543046357615894
330,stacked_svc,27,err,0.039647577092511016
331,stacked_svc,27,fnr,0.0
332,stacked_svc,27,fpr,0.17880794701986755
333,stacked_dtc,27,err,0.039647577092511016
334,stacked_dtc,27,fnr,0.0
335,stacked_dtc,27,fpr,0.17880794701986755
336,democratic,28,err,0.02936857562408223
337,democratic,28,fnr,0.0
338,democratic,28,fpr,0.13245033112582782
339,veto,28,err,0.032305433186490456
340,veto,28,fnr,0.0
341,veto,28,fpr,0.1456953642384106
342,stacked_svc,28,err,0.02936857562408223
343,stacked_svc,28,fnr,0.0
344,stacked_svc,28,fpr,0.13245033112582782
345,stacked_dtc,28,err,0.02936857562408223
346,stacked_dtc,28,fnr,0.0
347,stacked_dtc,28,fpr,0.13245033112582782
348,democratic,29,err,0.0381791483113069
349,democratic,29,fnr,0.0
350,democratic,29,fpr,0.17218543046357615
351,veto,29,err,0.039647577092511016
352,veto,29,fnr,0.0
353,veto,29,fpr,0.17880794701986755
354,stacked_svc,29,err,0.0381791483113069
355,stacked_svc,29,fnr,0.0
356,stacked_svc,29,fpr,0.17218543046357615
357,stacked_dtc,29,err,0.0381791483113069
358,stacked_dtc,29,fnr,0.0
359,stacked_dtc,29,fpr,0.17218543046357615
360,democratic,30,err,0.03671071953010279
361,democratic,30,fnr,0.0
362,democratic,30,fpr,0.16556291390728478
363,veto,30,err,0.041116005873715125
364,veto,30,fnr,0.0
365,veto,30,fpr,0.18543046357615894
366,stacked_svc,30,err,0.03671071953010279
367,stacked_svc,30,fnr,0.0
368,stacked_svc,30,fpr,0.16556291390728478
369,stacked_dtc,30,err,0.03671071953010279
370,stacked_dtc,30,fnr,0.0
371,stacked_dtc,30,fpr,0.16556291390728478
372,democratic,31,err,0.024963289280469897
373,democratic,31,fnr,0.0
374,democratic,31,fpr,0.11258278145695365
375,veto,31,err,0.02936857562408223
376,veto,31,fnr,0.0
377,veto,31,fpr,0.13245033112582782
378,stacked_svc,31,err,0.02643171806167401
379,stacked_svc,31,fnr,0.0018867924528301887
380,stacked_svc,31,fpr,0.11258278145695365
381,stacked_dtc,31,err,0.02643171806167401
382,stacked_dtc,31,fnr,0.0018867924528301887
383,stacked_dtc,31,fpr,0.11258278145695365
384,democratic,32,err,0.042584434654919234
385,democratic,32,fnr,0.0
386,democratic,32,fpr,0.19205298013245034
387,veto,32,err,0.04405286343612335
388,veto,32,fnr,0.0
389,veto,32,fpr,0.1986754966887417
390,stacked_svc,32,err,0.042584434654919234
391,stacked_svc,32,fnr,0.0
392,stacked_svc,32,fpr,0.19205298013245034
393,stacked_dtc,32,err,0.04405286343612335
394,stacked_dtc,32,fnr,0.0018867924528301887
395,stacked_dtc,32,fpr,0.19205298013245034
396,democratic,33,err,0.027900146842878122
397,democratic,33,fnr,0.0
398,democratic,33,fpr,0.12582781456953643
399,veto,33,err,0.027900146842878122
400,veto,33,fnr,0.0
401,veto,33,fpr,0.12582781456953643
402,stacked_svc,33,err,0.02936857562408223
403,stacked_svc,33,fnr,0.0018867924528301887
404,stacked_svc,33,fpr,0.12582781456953643
405,stacked_dtc,33,err,0.027900146842878122
406,stacked_dtc,33,fnr,0.0
407,stacked_dtc,33,fpr,0.12582781456953643
408,democratic,34,err,0.01908957415565345
409,democratic,34,fnr,0.0
410,democratic,34,fpr,0.08609271523178808
411,veto,34,err,0.023494860499265784
412,veto,34,fnr,0.0
413,veto,34,fpr,0.10596026490066225
414,stacked_svc,34,err,0.01908957415565345
415,stacked_svc,34,fnr,0.0
416,stacked_svc,34,fpr,0.08609271523178808
417,stacked_dtc,34,err,0.01908957415565345
418,stacked_dtc,34,fnr,0.0
419,stacked_dtc,34,fpr,0.08609271523178808
420,democratic,35,err,0.022026431718061675
421,democratic,35,fnr,0.0
422,democratic,35,fpr,0.09933774834437085
423,veto,35,err,0.024963289280469897
424,veto,35,fnr,0.0
425,veto,35,fpr,0.11258278145695365
426,stacked_svc,35,err,0.022026431718061675
427,stacked_svc,35,fnr,0.0
428,stacked_svc,35,fpr,0.09933774834437085
429,stacked_dtc,35,err,0.022026431718061675
430,stacked_dtc,35,fnr,0.0
431,stacked_dtc,35,fpr,0.09933774834437085
432,democratic,36,err,0.02643171806167401
433,democratic,36,fnr,0.0018867924528301887
434,democratic,36,fpr,0.11258278145695365
435,veto,36,err,0.02643171806167401
436,veto,36,fnr,0.0
437,veto,36,fpr,0.11920529801324503
438,stacked_svc,36,err,0.02643171806167401
439,stacked_svc,36,fnr,0.0018867924528301887
440,stacked_svc,36,fpr,0.11258278145695365
441,stacked_dtc,36,err,0.02643171806167401
442,stacked_dtc,36,fnr,0.0018867924528301887
443,stacked_dtc,36,fpr,0.11258278145695365
444,democratic,37,err,0.03671071953010279
445,democratic,37,fnr,0.0
446,democratic,37,fpr,0.16556291390728478
447,veto,37,err,0.0381791483113069
448,veto,37,fnr,0.0
449,veto,37,fpr,0.17218543046357615
450,stacked_svc,37,err,0.03671071953010279
451,stacked_svc,37,fnr,0.0
452,stacked_svc,37,fpr,0.16556291390728478
453,stacked_dtc,37,err,0.03671071953010279
454,stacked_dtc,37,fnr,0.0
455,stacked_dtc,37,fpr,0.16556291390728478
456,democratic,38,err,0.033773861967694566
457,democratic,38,fnr,0.0
458,democratic,38,fpr,0.152317880794702
459,veto,38,err,0.033773861967694566
460,veto,38,fnr,0.0
461,veto,38,fpr,0.152317880794702
462,stacked_svc,38,err,0.033773861967694566
463,stacked_svc,38,fnr,0.0
464,stacked_svc,38,fpr,0.152317880794702
465,stacked_dtc,38,err,0.033773861967694566
466,stacked_dtc,38,fnr,0.0
467,stacked_dtc,38,fpr,0.152317880794702
468,democratic,39,err,0.027900146842878122
469,democratic,39,fnr,0.0
470,democratic,39,fpr,0.12582781456953643
471,veto,39,err,0.030837004405286344
472,veto,39,fnr,0.0
473,veto,39,fpr,0.1390728476821192
474,stacked_svc,39,err,0.027900146842878122
475,stacked_svc,39,fnr,0.0
476,stacked_svc,39,fpr,0.12582781456953643
477,stacked_dtc,39,err,0.027900146842878122
478,stacked_dtc,39,fnr,0.0
479,stacked_dtc,39,fpr,0.12582781456953643
480,democratic,40,err,0.0381791483113069
481,democratic,40,fnr,0.0
482,democratic,40,fpr,0.17218543046357615
483,veto,40,err,0.041116005873715125
484,veto,40,fnr,0.0
485,veto,40,fpr,0.18543046357615894
486,stacked_svc,40,err,0.0381791483113069
487,stacked_svc,40,fnr,0.0
488,stacked_svc,40,fpr,0.17218543046357615
489,stacked_dtc,40,err,0.039647577092511016
490,stacked_dtc,40,fnr,0.0018867924528301887
491,stacked_dtc,40,fpr,0.17218543046357615
492,democratic,41,err,0.022026431718061675
493,democratic,41,fnr,0.0018867924528301887
494,democratic,41,fpr,0.09271523178807947
495,veto,41,err,0.024963289280469897
496,veto,41,fnr,0.0
497,veto,41,fpr,0.11258278145695365
498,stacked_svc,41,err,0.023494860499265784
499,stacked_svc,41,fnr,0.0037735849056603774
500,stacked_svc,41,fpr,0.09271523178807947
501,stacked_dtc,41,err,0.023494860499265784
502,stacked_dtc,41,fnr,0.0037735849056603774
503,stacked_dtc,41,fpr,0.09271523178807947
504,democratic,42,err,0.023494860499265784
505,democratic,42,fnr,0.0
506,democratic,42,fpr,0.10596026490066225
507,veto,42,err,0.024963289280469897
508,veto,42,fnr,0.0
509,veto,42,fpr,0.11258278145695365
510,stacked_svc,42,err,0.023494860499265784
511,stacked_svc,42,fnr,0.0
512,stacked_svc,42,fpr,0.10596026490066225
513,stacked_dtc,42,err,0.023494860499265784
514,stacked_dtc,42,fnr,0.0
515,stacked_dtc,42,fpr,0.10596026490066225
516,democratic,43,err,0.06020558002936858
517,democratic,43,fnr,0.0
518,democratic,43,fpr,0.271523178807947
519,veto,43,err,0.06020558002936858
520,veto,43,fnr,0.0
521,veto,43,fpr,0.271523178807947
522,stacked_svc,43,err,0.06020558002936858
523,stacked_svc,43,fnr,0.0
524,stacked_svc,43,fpr,0.271523178807947
525,stacked_dtc,43,err,0.06020558002936858
526,stacked_dtc,43,fnr,0.0
527,stacked_dtc,43,fpr,0.271523178807947
528,democratic,44,err,0.030837004405286344
529,democratic,44,fnr,0.0
530,democratic,44,fpr,0.1390728476821192
531,veto,44,err,0.030837004405286344
532,veto,44,fnr,0.0
533,veto,44,fpr,0.1390728476821192
534,stacked_svc,44,err,0.030837004405286344
535,stacked_svc,44,fnr,0.0
536,stacked_svc,44,fpr,0.1390728476821192
537,stacked_dtc,44,err,0.030837004405286344
538,stacked_dtc,44,fnr,0.0
539,stacked_dtc,44,fpr,0.1390728476821192
540,democratic,45,err,0.02936857562408223
541,democratic,45,fnr,0.0
542,democratic,45,fpr,0.13245033112582782
543,veto,45,err,0.030837004405286344
544,veto,45,fnr,0.0
545,veto,45,fpr,0.1390728476821192
546,stacked_svc,45,err,0.02936857562408223
547,stacked_svc,45,fnr,0.0
548,stacked_svc,45,fpr,0.13245033112582782
549,stacked_dtc,45,err,0.02936857562408223
550,stacked_dtc,45,fnr,0.0
551,stacked_dtc,45,fpr,0.13245033112582782
552,democratic,46,err,0.02936857562408223
553,democratic,46,fnr,0.0
554,democratic,46,fpr,0.13245033112582782
555,veto,46,err,0.030837004405286344
556,veto,46,fnr,0.0
557,veto,46,fpr,0.1390728476821192
558,stacked_svc,46,err,0.02936857562408223
559,stacked_svc,46,fnr,0.0
560,stacked_svc,46,fpr,0.13245033112582782
561,stacked_dtc,46,err,0.02936857562408223
562,stacked_dtc,46,fnr,0.0
563,stacked_dtc,46,fpr,0.13245033112582782
564,democratic,47,err,0.030837004405286344
565,democratic,47,fnr,0.0
566,democratic,47,fpr,0.1390728476821192
567,veto,47,err,0.030837004405286344
568,veto,47,fnr,0.0
569,veto,47,fpr,0.1390728476821192
570,stacked_svc,47,err,0.030837004405286344
571,stacked_svc,47,fnr,0.0
572,stacked_svc,47,fpr,0.1390728476821192
573,stacked_dtc,47,err,0.030837004405286344
574,stacked_dtc,47,fnr,0.0
575,stacked_dtc,47,fpr,0.1390728476821192
576,democratic,48,err,0.032305433186490456
577,democratic,48,fnr,0.0
578,democratic,48,fpr,0.1456953642384106
579,veto,48,err,0.032305433186490456
580,veto,48,fnr,0.0
581,veto,48,fpr,0.1456953642384106
582,stacked_svc,48,err,0.032305433186490456
583,stacked_svc,48,fnr,0.0
584,stacked_svc,48,fpr,0.1456953642384106
585,stacked_dtc,48,err,0.033773861967694566
586,stacked_dtc,48,fnr,0.0018867924528301887
587,stacked_dtc,48,fpr,0.1456953642384106
588,democratic,49,err,0.023494860499265784
589,democratic,49,fnr,0.0
590,democratic,49,fpr,0.10596026490066225
591,veto,49,err,0.027900146842878122
592,veto,49,fnr,0.0
593,veto,49,fpr,0.12582781456953643
594,stacked_svc,49,err,0.023494860499265784
595,stacked_svc,49,fnr,0.0
596,stacked_svc,49,fpr,0.10596026490066225
597,stacked_dtc,49,err,0.023494860499265784
598,stacked_dtc,49,fnr,0.0
599,stacked_dtc,49,fpr,0.10596026490066225
